종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"394280","오픈엣지테크놀로지","KOSDAQ","기술성장기업부","15230","-330","-2.12","16140","16440","14920","826703","12759227555","335746792380","22059579"
"476060","온코닉테라퓨틱스","KOSDAQ","기술성장기업부","20450","590","2.97","19710","20950","19110","1226925","24874694720","909817759700","44489866"
"382150","온코크로스","KOSDAQ","기술성장기업부","9800","200","2.08","9500","9880","9300","260453","2527185740","117877702600","12028337"
"005320","온타이드","KOSPI",,"467","10","2.19","457","473","448","316163","145076662","32068198610","68375690"
"244460","올리패스","KOSDAQ","관리종목(소속부없음)","1651","0","0.00","0","0","0","0","0","13402000755","8117505"
"226950","올릭스","KOSDAQ","기술성장기업부","148600","8800","6.29","136800","149800","124500","699498","101306268800","2980026730800","20189883"
"057540","옴니시스템","KOSDAQ","중견기업부","816","5","0.62","813","820","804","269087","218793057","48510673680","59449355"
"131030","옵투스제약","KOSDAQ","우량기업부","6990","30","0.43","6980","7000","6860","38795","269428055","123349664100","17646590"
"082210","옵트론텍","KOSDAQ","투자주의환기종목(소속부없음)","1714","-44","-2.50","1758","1773","1689","85946","147977836","56924921410","33192374"
"109080","옵티시스","KOSDAQ","벤처기업부","8160","0","0.00","8160","8370","8150","26994","222571090","46271560000","5636000"
"380540","옵티코어","KOSDAQ","벤처기업부","2650","250","10.42","2505","2960","2500","6395393","17181026737","129301892550","48793167"
"153710","옵티팜","KOSDAQ","기술성장기업부","5100","-40","-0.78","5120","5140","5060","12992","66040110","74816785800","14669958"
"432430","와이랩","KOSDAQ","기술성장기업부","4395","-10","-0.23","4405","4440","4330","43376","189224490","72306441600","16508320"
"338840","와이바이오로직스","KOSDAQ","기술성장기업부","22600","850","3.91","21450","23050","20950","318973","7020687575","344542438700","15178081"
"122990","와이솔","KOSDAQ","우량기업부","5600","-60","-1.06","5660","5720","5570","70750","397496080","149711635220","26639081"
"232140","와이씨","KOSDAQ","우량기업부","15840","140","0.89","16200","16300","15400","1324800","20826850075","1300418797500","82045350"
"112290","와이씨켐","KOSDAQ","기술성장기업부","21500","350","1.65","21800","22050","21200","132712","2862958850","217376717500","10110545"
"065530","와이어블","KOSDAQ","중견기업부","1354","7","0.52","1350","1367","1343","46149","62308481","64295292096","47838759"
"067900","와이엔텍","KOSDAQ","우량기업부","6630","-120","-1.78","6730","6800","6550","69263","465245765","120845735760","18199659"
"007530","와이엠","KOSDAQ","중견기업부","2385","-50","-2.05","2465","2465","2360","27253","65504630","53410154400","22254231"
"155650","와이엠씨","KOSDAQ","우량기업부","3765","10","0.27","3755","3785","3695","49280","184032200","73223586080","19474358"
"273640","와이엠텍","KOSDAQ","벤처기업부","8430","30","0.36","8370","8560","8330","20041","169643655","92443380000","10966000"
"251370","와이엠티","KOSDAQ","벤처기업부","12470","-170","-1.34","12760","13090","12310","132030","1662983310","219771404700","17624010"
"209640","와이제이링크","KOSDAQ","중견기업부","4425","-70","-1.56","4635","4635","4320","2224231","9984402723","125718705320","28443146"
"096250","와이즈넛","KOSDAQ","기술성장기업부","11800","50","0.43","11750","11860","11560","43288","504740055","153753332640","13096536"
"273060","와이즈버즈","KOSDAQ","중견기업부","890","-4","-0.45","887","903","881","129152","114826611","44909027980","50459582"
"019210","와이지-원","KOSDAQ","우량기업부","5370","180","3.47","5250","5380","5210","122431","651760610","179955669840","33573819"
"122870","와이지엔터테인먼트","KOSDAQ","우량기업부","65100","-5300","-7.53","71900","72000","64600","826407","54817280900","1214918185000","18691049"
"011690","와이투솔루션","KOSPI",,"4240","75","1.80","4165","4410","3990","1690391","7124196645","155075430560","36574394"
"079000","와토스코리아","KOSDAQ","중견기업부","6700","430","6.86","6200","6810","6150","40370","265974440","48744000000","7200000"
"403490","우듬지팜","KOSDAQ","벤처기업부","1552","-36","-2.27","1588","1588","1531","214159","332836917","71470913984","45932464"
"316140","우리금융지주","KOSPI",,"27900","-150","-0.53","27750","28400","27700","1554270","43322696100","20480729328000","734076320"
"032820","우리기술","KOSDAQ","벤처기업부","3975","240","6.43","3835","3975","3830","4357483","17120257075","662357969880","166756790"
"041190","우리기술투자","KOSDAQ","벤처기업부","7780","250","3.32","7730","7860","7690","727379","5657605255","653520000000","84000000"
"115440","우리넷","KOSDAQ","우량기업부","7500","50","0.67","7500","7670","7400","123114","926280680","80957190000","10794292"
"046970","우리로","KOSDAQ","벤처기업부","1314","34","2.66","1280","1315","1280","1135525","1479834477","57586048686","43824999"
"082850","우리바이오","KOSDAQ","벤처기업부","2085","15","0.72","2070","2095","2065","264983","551064156","101031965130","48456578"
"215360","우리산업","KOSDAQ","우량기업부","8790","340","4.02","8480","9000","8410","249162","2198537705","80271712770","9132163"
"072470","우리산업홀딩스","KOSDAQ","중견기업부","3235","15","0.47","3190","3310","3190","47993","155768441","61667168365","18887341"
"073560","우리손에프앤지","KOSDAQ","우량기업부","1484","-29","-1.92","1514","1514","1476","113349","168441294","102610186926","69237643"
"037400","우리엔터프라이즈","KOSDAQ","중견기업부","983","-4","-0.41","990","995","979","39720","39217814","25751325772","26223346"
"153490","우리이앤엘","KOSDAQ","우량기업부","671","-15","-2.19","710","710","665","74233","50121681","34594560000","51480000"
"101170","우림피티에스","KOSDAQ","벤처기업부","15270","-2090","-12.04","17550","17600","15150","1710016","27631796700","206550000000","13500000"
"006980","우성","KOSPI",,"16210","80","0.50","16680","16680","16110","1351","21934565","50088900000","3090000"
